created_at,id,text,screen_name,followers,friends,rt,fav
Tue Jan 03 17:35:07 +0000 2017,816337103923580929,RT @FARNOOSH: What are your #resolutions for 2017? Join me + @Mint for the #SoMinty 4-week bootcamp. https://t.co/eE7FDr2kDz https://t.co/C\u2026,mint,242609,7830,4,0
Tue Jan 03 17:34:16 +0000 2017,816336890173460480,RT @sarahjgaines: Just got myself set up on @mint! Only way to fulfill resolutions is to take actionable steps towards completing them \U0001f44d\U0001f4b0,mint,242609,7830,1,0
Tue Jan 03 17:05:09 +0000 2017,816329564980908033,"So, winter just showed up &amp; decided to chill. 7 #MoneySaving tips to weather-proof your budget:\u2026 https://t.co/86qGUHXca8",mint,242609,7830,4,5
Mon Jan 02 20:17:03 +0000 2017,816015469006192641,What\u2019s your #PersonalFinance #resolution for 2017? https://t.co/m6TTUmPCVh,mint,242609,7830,7,19
Mon Jan 02 17:04:08 +0000 2017,815966920226865154,.@FARNOOSH's #SoMinty Insta takeover starts today! This week's theme is #financial goal setting \U0001f449\u2026 https://t.co/scfKTHBh6m,mint,242609,7830,4,2
Sun Jan 01 17:05:03 +0000 2017,815604764121694216,"Hello, 2017! #HappyNewYear everyone! \U0001f389\U0001f37e https://t.co/jDyD223b0X",mint,242609,7830,4,13
Fri Dec 30 20:45:07 +0000 2016,814935369330413568,"More fabulously frugal ways to celebrate #NewYearsEve: https://t.co/hcNZx4J4Sx  Cause tomorrow night, we're gonna p\u2026 https://t.co/iJ0PPU2Vah",mint,242609,7830,1,1
Fri Dec 30 20:45:07 +0000 2016,814935369330413568,"More fabulously frugal ways to celebrate #NewYearsEve: https://t.co/hcNZx4J4Sx  Cause tomorrow night, we're gonna p\u2026 https://t.co/iJ0PPU2Vah",mint,242609,7830,1,1
Fri Dec 30 17:08:10 +0000 2016,814880771852922880,"Got a #PersonalFinance #NewYearsResolution, or two? Check out @FARNOOSH\u2019s 5 financial predictions for 2017:\u2026 https://t.co/rIIydwzIjW",mint,242609,7830,3,1
Thu Dec 29 22:26:05 +0000 2016,814598390424150016,Awesome list of a few top #PersonalFinance blogs from 2016 to help you kickoff 2017. https://t.co/3XHgqqpy7w\u2026 https://t.co/bu5Gkha2hF,mint,242609,7830,3,12
Thu Dec 29 20:24:05 +0000 2016,814567690371211264,"What\u2019s your financial grown-up moment? Award-winning journalist &amp; author, @bobbirebell, shares her\u2019s w/ @FARNOOSH. https://t.co/H3cFH7J0pP",mint,242609,7830,2,2
Thu Dec 29 18:03:08 +0000 2016,814532218731249664,Deeply honored to be named one of @readwestwood\u2019s #BestOf2016 apps for the busy creative entrepreneur!\u2026 https://t.co/vtBPHagio5,mint,242609,7830,3,5
Wed Dec 28 23:17:08 +0000 2016,814248848499548161,"Mint brings all your bills together in one place. Know what\u2019s due, when it\u2019s due and pay with two taps.\u2026 https://t.co/C2wn1c9cmf",mint,242609,7830,3,13
Wed Dec 28 22:08:57 +0000 2016,814231689111150592,RT @AKKerani: A9: I love @mint. Their bills app tells me how much I'm going to owe on what date so I can prepare. #creditchat  https://t.co\u2026,mint,242609,7830,4,0
Wed Dec 28 20:45:06 +0000 2016,814210588800942080,We gave @FARNOOSH our Insta PW! She's taking the reigns in Jan w/ financial tips &amp; advice to make 2017 #SoMinty!\u2026 https://t.co/SEiGtqKCb0,mint,242609,7830,1,8
Wed Dec 28 17:14:07 +0000 2016,814157494247391232,"The holidays are winding down, but the bills, they\u2019re winding up. @FARNOOSH\u2019s 5 tips for managing #BillPayment:\u2026 https://t.co/HGTAMHNucl",mint,242609,7830,1,4
Wed Dec 28 00:39:24 +0000 2016,813907166566514688,RT @TheNerdyNurse: I've been anxiously waiting to update my credit score on @mint like I was waiting for @NSYNC tickets in 2000 #GoshImOld\u2026,mint,242609,7830,4,0
Tue Dec 27 23:05:28 +0000 2016,813883524923191297,What if you could just pay your #BillsAndChill? https://t.co/pNqTnvwHV3,mint,242609,7830,6,8
Tue Dec 27 18:45:08 +0000 2016,813818011543097346,"Our parents are superheroes, but even superheroes need help. @FARNOOSH\u2019s 5 tips for bailing out mom &amp; dad:\u2026 https://t.co/Zqf8qctYDM",mint,242609,7830,2,5
Tue Dec 27 17:26:07 +0000 2016,813798126461009921,"$77 BILLion dollars!! New features in Mint end late fees. Take your bills, and billions, back!\u2026 https://t.co/sCGgkEiMdG",mint,242609,7830,6,9
Mon Dec 26 17:12:05 +0000 2016,813432205255081988,It's one of those moments when you realize; you're successfully #adulting! https://t.co/ps8cCD8Z6J,mint,242609,7830,2,11
Sat Dec 24 18:03:06 +0000 2016,812720269521522688,"From the Mint family to you and yours, #HappyHolidays! https://t.co/xq43jBMJA7",mint,242609,7830,2,4
